Education_Level,Income_Category,Months_on_book
Uneducated,Unknown,25
Graduate,Less than $40K,41
Uneducated,$40K - $60K,27
High School,$60K - $80K,42
Graduate,Unknown,35
Graduate,Less than $40K,36
Graduate,Less than $40K,31
College,Less than $40K,40
Unknown,$60K - $80K,38
Uneducated,$40K - $60K,36
Graduate,Less than $40K,36
College,Less than $40K,36
Graduate,$40K - $60K,33
College,Less than $40K,25
Unknown,Unknown,42
Unknown,$80K - $120K,36
Graduate,Less than $40K,33
High School,Unknown,25
Post-Graduate,$80K - $120K,42
Graduate,Less than $40K,38
Unknown,$60K - $80K,26
High School,Less than $40K,33
Graduate,Less than $40K,32
Graduate,$60K - $80K,36
Graduate,Less than $40K,40
Graduate,Less than $40K,39
Graduate,Less than $40K,39
High School,$120K +,36
Uneducated,Less than $40K,22
Post-Graduate,$60K - $80K,36
High School,Less than $40K,36
Doctorate,Less than $40K,38
College,Less than $40K,36
Graduate,Less than $40K,40
Graduate,Unknown,24
College,Unknown,36
Graduate,$40K - $60K,38
Graduate,$40K - $60K,38
College,Less than $40K,38
High School,Less than $40K,36
College,$40K - $60K,33
Uneducated,$40K - $60K,41
Uneducated,Unknown,32
High School,Unknown,43
Graduate,Unknown,43
College,Less than $40K,33
High School,Less than $40K,25
Graduate,Unknown,31
College,$40K - $60K,26
Graduate,Less than $40K,37
High School,Unknown,38
Unknown,Less than $40K,36
College,$40K - $60K,39
Graduate,$80K - $120K,36
College,Less than $40K,33
Doctorate,Unknown,39
Graduate,$40K - $60K,36
Uneducated,$40K - $60K,34
Uneducated,Unknown,37
High School,Unknown,32
Graduate,$40K - $60K,33
Graduate,Unknown,37
High School,Unknown,36
Doctorate,Less than $40K,34
Graduate,Less than $40K,26
College,$40K - $60K,37
High School,$60K - $80K,42
College,Less than $40K,28
Unknown,$40K - $60K,31
Graduate,Unknown,31
Graduate,Less than $40K,36
Graduate,$40K - $60K,34
Graduate,Less than $40K,30
College,Unknown,18
Uneducated,Unknown,36
Doctorate,$40K - $60K,36
Graduate,Less than $40K,30
Graduate,Less than $40K,36
Graduate,$40K - $60K,33
High School,$60K - $80K,37
Graduate,$40K - $60K,17
Graduate,Less than $40K,18
College,Unknown,29
College,$80K - $120K,34
Graduate,$120K +,42
College,Less than $40K,29
Unknown,Less than $40K,36
High School,$60K - $80K,36
High School,Less than $40K,36
Graduate,$60K - $80K,38
Graduate,$60K - $80K,36
Doctorate,Unknown,21
High School,Less than $40K,35
Graduate,$80K - $120K,40
Uneducated,$40K - $60K,34
College,$40K - $60K,36
Post-Graduate,Less than $40K,38
Graduate,$60K - $80K,30
College,$60K - $80K,36
High School,Less than $40K,37
Unknown,Less than $40K,36
Uneducated,Unknown,29
Unknown,$40K - $60K,39
Graduate,$40K - $60K,36
Uneducated,$40K - $60K,34
High School,$40K - $60K,28
High School,$40K - $60K,31
Graduate,$80K - $120K,30
Post-Graduate,$40K - $60K,36
Uneducated,Less than $40K,41
Graduate,Unknown,31
High School,$80K - $120K,38
High School,Less than $40K,23
Post-Graduate,Unknown,38
Graduate,$40K - $60K,26
Unknown,Less than $40K,36
College,$60K - $80K,36
Uneducated,Less than $40K,33
Graduate,$40K - $60K,37
Uneducated,Unknown,36
High School,Less than $40K,36
Graduate,Unknown,39
High School,$120K +,36
College,Less than $40K,36
Uneducated,$80K - $120K,34
Unknown,Less than $40K,36
Unknown,$60K - $80K,31
Graduate,Less than $40K,18
Graduate,$40K - $60K,37
Uneducated,$60K - $80K,23
High School,Unknown,31
College,$80K - $120K,31
Graduate,Less than $40K,36
College,$80K - $120K,37
Unknown,Unknown,36
Graduate,Unknown,40
Graduate,Less than $40K,22
High School,Unknown,36
Graduate,Less than $40K,28
Uneducated,$40K - $60K,32
Graduate,Less than $40K,34
Uneducated,$40K - $60K,40
High School,$120K +,28
Graduate,$60K - $80K,41
Graduate,$80K - $120K,44
College,Unknown,24
High School,Less than $40K,40
Graduate,$60K - $80K,27
Uneducated,Less than $40K,42
Graduate,Unknown,37
Graduate,$60K - $80K,35
High School,Less than $40K,23
Graduate,Less than $40K,38
Uneducated,Unknown,31
High School,Less than $40K,13
Graduate,$60K - $80K,31
College,$80K - $120K,38
Graduate,Less than $40K,40
Unknown,$60K - $80K,36
Graduate,Less than $40K,36
Graduate,$120K +,37
College,Less than $40K,43
Graduate,Less than $40K,38
Unknown,$40K - $60K,36
High School,Less than $40K,28
Uneducated,Unknown,36
Post-Graduate,$80K - $120K,30
Graduate,Less than $40K,21
Unknown,Unknown,16
High School,$80K - $120K,36
Uneducated,$80K - $120K,32
Graduate,Unknown,36
Graduate,$40K - $60K,36
Unknown,Less than $40K,35
College,$80K - $120K,30
Unknown,$120K +,32
Uneducated,Unknown,28
Post-Graduate,$40K - $60K,38
Graduate,$80K - $120K,33
Graduate,Unknown,27
College,Less than $40K,28
Unknown,Less than $40K,36
Uneducated,$60K - $80K,29
Post-Graduate,Unknown,27
Graduate,$80K - $120K,36
Graduate,Less than $40K,36
High School,Less than $40K,34
College,Unknown,18
Graduate,Less than $40K,22
Unknown,Less than $40K,34
Graduate,Unknown,34
Graduate,Less than $40K,34
Unknown,Less than $40K,36
Graduate,Less than $40K,38
Graduate,Less than $40K,28
High School,Less than $40K,22
Doctorate,$40K - $60K,27
High School,Less than $40K,36
Graduate,Less than $40K,36
High School,$40K - $60K,40
High School,$120K +,26
College,Unknown,38
High School,Less than $40K,34
Doctorate,Unknown,40
Graduate,Unknown,36
Unknown,$120K +,44
Graduate,$40K - $60K,40
Graduate,Less than $40K,36
College,$120K +,40
Post-Graduate,Unknown,31
Post-Graduate,Less than $40K,41
Graduate,Less than $40K,32
College,$40K - $60K,39
Graduate,Less than $40K,33
Unknown,Less than $40K,40
Unknown,Less than $40K,20
Graduate,Less than $40K,33
Graduate,Less than $40K,36
College,$40K - $60K,34
Uneducated,Less than $40K,24
Unknown,Less than $40K,36
High School,$40K - $60K,24
High School,Less than $40K,35
Doctorate,Unknown,44
College,Less than $40K,36
Uneducated,$80K - $120K,25
Uneducated,Less than $40K,35
Unknown,Less than $40K,30
Uneducated,Less than $40K,26
Unknown,$40K - $60K,29
High School,$60K - $80K,33
Uneducated,Less than $40K,36
Graduate,Less than $40K,36
High School,Less than $40K,36
High School,Less than $40K,31
Post-Graduate,Less than $40K,35
Uneducated,Less than $40K,35
Graduate,$120K +,30
High School,Less than $40K,26
High School,Less than $40K,35
Graduate,Unknown,22
Unknown,Unknown,33
Uneducated,Unknown,40
Graduate,Unknown,27
Unknown,$60K - $80K,36
High School,Less than $40K,36
Unknown,$40K - $60K,30
College,$40K - $60K,36
Unknown,Less than $40K,34
Doctorate,$40K - $60K,36
College,Less than $40K,29
College,Less than $40K,41
Graduate,Unknown,29
Uneducated,Unknown,36
College,Unknown,32
Graduate,$80K - $120K,31
Unknown,Less than $40K,29
Uneducated,Unknown,32
College,Less than $40K,41
High School,Unknown,32
Graduate,Less than $40K,39
Graduate,$40K - $60K,36
Graduate,Unknown,43
High School,Unknown,36
Unknown,$80K - $120K,22
High School,Unknown,39
Uneducated,Unknown,36
High School,$40K - $60K,43
Doctorate,Less than $40K,33
Graduate,$40K - $60K,26
High School,$60K - $80K,36
High School,Less than $40K,38
College,Unknown,37
Graduate,$80K - $120K,41
Uneducated,$60K - $80K,30
Graduate,Unknown,33
Uneducated,Less than $40K,25
Uneducated,$40K - $60K,41
Uneducated,Less than $40K,30
Graduate,Less than $40K,20
Uneducated,Less than $40K,36
Uneducated,$40K - $60K,36
College,Less than $40K,36
Doctorate,$80K - $120K,35
High School,$40K - $60K,36
Unknown,Less than $40K,30
Graduate,Less than $40K,41
Graduate,$40K - $60K,36
Graduate,Less than $40K,29
Graduate,Less than $40K,36
Post-Graduate,$40K - $60K,28
College,$60K - $80K,35
High School,Less than $40K,24
Uneducated,$120K +,34
Uneducated,Unknown,24
College,Less than $40K,36
High School,$120K +,30
Post-Graduate,$40K - $60K,42
College,Less than $40K,36
College,Unknown,28
Uneducated,Less than $40K,36
Uneducated,$40K - $60K,39
College,Less than $40K,36
Uneducated,Less than $40K,36
College,Less than $40K,31
Uneducated,Less than $40K,28
Post-Graduate,Less than $40K,36
High School,Less than $40K,34
Unknown,Less than $40K,25
High School,$80K - $120K,36
High School,Less than $40K,31
Unknown,$40K - $60K,36
College,$80K - $120K,34
High School,Less than $40K,21
High School,$80K - $120K,39
High School,$40K - $60K,32
High School,Unknown,36
Graduate,Less than $40K,39
Graduate,Less than $40K,36
Graduate,Less than $40K,31
Graduate,Less than $40K,31
Post-Graduate,Less than $40K,37
High School,$80K - $120K,37
Graduate,$40K - $60K,38
Graduate,$80K - $120K,32
Unknown,$60K - $80K,38
College,$40K - $60K,36
Graduate,$40K - $60K,36
High School,$60K - $80K,36
Graduate,Less than $40K,36
High School,$60K - $80K,32
Graduate,Less than $40K,37
Uneducated,Less than $40K,44
High School,$40K - $60K,27
Graduate,$80K - $120K,29
Graduate,$40K - $60K,33
Doctorate,Unknown,42
High School,$80K - $120K,39
Uneducated,Less than $40K,36
Graduate,Less than $40K,19
Graduate,$120K +,31
Unknown,Less than $40K,36
Graduate,$60K - $80K,37
High School,Less than $40K,37
High School,$120K +,33
College,Less than $40K,35
Doctorate,Less than $40K,26
College,Less than $40K,34
Graduate,$40K - $60K,36
Unknown,$40K - $60K,26
High School,Less than $40K,32
Graduate,$40K - $60K,28
Graduate,Less than $40K,31
Graduate,Unknown,36
Graduate,Less than $40K,43
High School,$60K - $80K,32
Unknown,Less than $40K,34
High School,$40K - $60K,36
Post-Graduate,Less than $40K,45
Post-Graduate,Less than $40K,29
Graduate,Unknown,32
High School,Less than $40K,37
High School,$120K +,35
Uneducated,Less than $40K,36
Graduate,$40K - $60K,34
Post-Graduate,$60K - $80K,36
Graduate,Less than $40K,40
Uneducated,$60K - $80K,30
High School,$40K - $60K,19
High School,Less than $40K,15
Unknown,Less than $40K,36
Graduate,Unknown,32
Unknown,Less than $40K,41
Unknown,Less than $40K,36
College,Less than $40K,36
Graduate,Less than $40K,34
Graduate,Less than $40K,30
Uneducated,Unknown,36
Uneducated,Unknown,35
Doctorate,Less than $40K,21
Graduate,Unknown,40
Graduate,$40K - $60K,28
Unknown,Unknown,29
Graduate,Unknown,37
Graduate,Less than $40K,36
Graduate,$40K - $60K,20
Graduate,Less than $40K,41
Uneducated,Unknown,28
Doctorate,Less than $40K,36
Graduate,Less than $40K,33
Graduate,$40K - $60K,36
Doctorate,Less than $40K,36
Unknown,Less than $40K,36
Graduate,$40K - $60K,36
College,$80K - $120K,22
College,Less than $40K,21
Unknown,$40K - $60K,38
College,Unknown,36
Graduate,Less than $40K,20
High School,Less than $40K,36
Graduate,Unknown,32
High School,Unknown,34
Unknown,$60K - $80K,26
Graduate,$120K +,34
College,$40K - $60K,37
College,$80K - $120K,30
College,Less than $40K,36
Uneducated,Less than $40K,36
High School,$80K - $120K,24
Graduate,$80K - $120K,46
Doctorate,Less than $40K,33
Graduate,Less than $40K,36
Graduate,Less than $40K,36
High School,Less than $40K,18
Uneducated,Less than $40K,31
Post-Graduate,$40K - $60K,36
College,Less than $40K,26
Unknown,Less than $40K,42
Graduate,Less than $40K,36
Graduate,$40K - $60K,30
High School,Unknown,32
Graduate,Less than $40K,37
Graduate,$40K - $60K,36
Graduate,Less than $40K,44
College,Less than $40K,41
College,Less than $40K,36
Unknown,Less than $40K,28
Graduate,Less than $40K,42
Unknown,Less than $40K,34
Post-Graduate,Less than $40K,26
High School,Less than $40K,36
Unknown,Less than $40K,36
High School,Less than $40K,25
High School,Less than $40K,36
Uneducated,$80K - $120K,36
Graduate,$60K - $80K,36
Graduate,$40K - $60K,18
Graduate,$60K - $80K,28
Doctorate,Unknown,36
Post-Graduate,Less than $40K,36
High School,$120K +,31
High School,Unknown,36
Doctorate,Unknown,27
Graduate,$40K - $60K,28
High School,$60K - $80K,39
College,$40K - $60K,30
College,$40K - $60K,20
High School,Less than $40K,36
Graduate,Less than $40K,36
Uneducated,$40K - $60K,34
Unknown,Less than $40K,36
Graduate,Less than $40K,36
College,Less than $40K,28
Post-Graduate,$40K - $60K,36
Unknown,$80K - $120K,36
Unknown,$40K - $60K,36
Uneducated,Unknown,36
Uneducated,Less than $40K,31
College,$80K - $120K,32
College,Less than $40K,29
College,Unknown,20
Uneducated,Less than $40K,36
Graduate,$80K - $120K,36
College,Unknown,36
High School,Unknown,27
Doctorate,Less than $40K,40
Graduate,Less than $40K,34
High School,$120K +,43
Uneducated,Unknown,36
Graduate,Less than $40K,36
Graduate,Less than $40K,39
Unknown,$40K - $60K,36
High School,$40K - $60K,43
High School,$60K - $80K,39
Unknown,Less than $40K,32
College,$40K - $60K,34
High School,Less than $40K,32
Graduate,Unknown,23
Graduate,Less than $40K,36
College,$40K - $60K,28
Uneducated,Less than $40K,38
Graduate,Less than $40K,36
Graduate,Less than $40K,36
Graduate,Less than $40K,29
Graduate,Unknown,36
Doctorate,Unknown,36
Unknown,Less than $40K,22
Unknown,Less than $40K,36
Unknown,$40K - $60K,36
Unknown,$60K - $80K,36
High School,Unknown,36
High School,Less than $40K,30
Unknown,Less than $40K,30
Graduate,Less than $40K,37
Graduate,$60K - $80K,36
Uneducated,$120K +,38
College,Less than $40K,20
High School,$40K - $60K,30
High School,$40K - $60K,23
Doctorate,Less than $40K,43
Graduate,Less than $40K,32
Uneducated,Less than $40K,36
Graduate,$40K - $60K,28
Uneducated,Less than $40K,36
High School,Less than $40K,25
Graduate,Less than $40K,38
Uneducated,$40K - $60K,38
College,$80K - $120K,31
High School,Less than $40K,37
Graduate,$80K - $120K,26
College,Less than $40K,33
Graduate,Less than $40K,19
Graduate,$80K - $120K,36
Unknown,Less than $40K,17
Graduate,Less than $40K,38
High School,Less than $40K,36
College,Unknown,29
High School,Less than $40K,40
Doctorate,$40K - $60K,33
College,$40K - $60K,41
Graduate,Less than $40K,27
Unknown,$120K +,34
Unknown,Less than $40K,36
Unknown,$40K - $60K,39
Graduate,Less than $40K,32
College,Less than $40K,33
High School,Less than $40K,36
Doctorate,Less than $40K,36
High School,Less than $40K,33
High School,Less than $40K,16
Doctorate,Less than $40K,36
Unknown,Less than $40K,27
College,$40K - $60K,34
Graduate,Less than $40K,36
High School,$60K - $80K,32
High School,$40K - $60K,28
College,$40K - $60K,30
Unknown,Unknown,21
Doctorate,Unknown,38
High School,Less than $40K,25
Doctorate,$60K - $80K,43
High School,$40K - $60K,27
High School,Unknown,36
High School,Unknown,38
College,$80K - $120K,41
Doctorate,$120K +,28
Graduate,$60K - $80K,38
Uneducated,Less than $40K,29
College,$40K - $60K,31
High School,$80K - $120K,36
High School,$80K - $120K,36
Graduate,$120K +,37
High School,$60K - $80K,36
College,Less than $40K,42
Uneducated,$60K - $80K,44
Graduate,Less than $40K,39
Graduate,Less than $40K,35
Graduate,Less than $40K,36
Unknown,$120K +,32
Graduate,Less than $40K,29
Graduate,Less than $40K,35
Unknown,$40K - $60K,22
Graduate,Less than $40K,32
Unknown,Unknown,26
Unknown,Unknown,40
Unknown,$80K - $120K,29
Doctorate,$40K - $60K,32
Uneducated,$40K - $60K,38
College,$60K - $80K,39
Graduate,Less than $40K,30
Unknown,$60K - $80K,27
High School,Unknown,32
Unknown,Less than $40K,13
Unknown,Less than $40K,36
High School,Less than $40K,36
Graduate,Less than $40K,34
High School,Unknown,38
High School,Less than $40K,42
Uneducated,$40K - $60K,35
Uneducated,$60K - $80K,30
High School,Less than $40K,36
Graduate,Less than $40K,31
Graduate,Less than $40K,29
High School,Less than $40K,36
College,Unknown,27
Graduate,Less than $40K,32
High School,Less than $40K,41
Graduate,$40K - $60K,27
Unknown,$40K - $60K,36
Graduate,Less than $40K,36
Graduate,Less than $40K,43
High School,Less than $40K,42
Uneducated,Less than $40K,29
College,Unknown,40
High School,Less than $40K,23
Uneducated,Less than $40K,30
High School,$40K - $60K,31
Unknown,$40K - $60K,28
High School,Less than $40K,40
High School,$60K - $80K,36
Unknown,Less than $40K,42
High School,$40K - $60K,34
Post-Graduate,Less than $40K,27
Doctorate,Less than $40K,27
Uneducated,Unknown,30
Doctorate,$40K - $60K,31
Graduate,$40K - $60K,36
College,Less than $40K,35
Graduate,Less than $40K,37
High School,Less than $40K,24
College,$40K - $60K,36
Uneducated,Less than $40K,28
High School,Less than $40K,40
High School,Less than $40K,30
High School,$80K - $120K,30
Graduate,$60K - $80K,36
Unknown,$40K - $60K,28
Unknown,Unknown,41
College,$60K - $80K,35
Uneducated,$120K +,36
High School,Less than $40K,41
Uneducated,Less than $40K,23
Doctorate,$120K +,31
High School,$60K - $80K,35
Uneducated,$60K - $80K,34
Uneducated,Less than $40K,32
Unknown,$60K - $80K,27
Graduate,$40K - $60K,31
Unknown,$80K - $120K,38
Unknown,Less than $40K,42
High School,Less than $40K,26
Graduate,Less than $40K,43
Doctorate,$80K - $120K,39
College,$60K - $80K,28
High School,$60K - $80K,33
Post-Graduate,Less than $40K,43
College,Less than $40K,36
Uneducated,Unknown,40
Doctorate,Less than $40K,27
High School,Less than $40K,29
High School,Unknown,44
High School,$60K - $80K,36
College,Less than $40K,40
Graduate,Less than $40K,32
Graduate,$120K +,32
Unknown,Less than $40K,36
College,$40K - $60K,32
Graduate,$60K - $80K,37
Uneducated,Unknown,35
Uneducated,Unknown,36
High School,$60K - $80K,31
High School,Less than $40K,35
Doctorate,Less than $40K,32
High School,Less than $40K,29
Uneducated,Unknown,40
High School,Less than $40K,21
Graduate,$60K - $80K,45
High School,Unknown,36
Unknown,Less than $40K,39
College,$120K +,36
Graduate,$120K +,41
College,$40K - $60K,36
Post-Graduate,$40K - $60K,40
Uneducated,$120K +,35
Uneducated,Unknown,25
Unknown,$40K - $60K,36
Uneducated,$60K - $80K,38
Doctorate,Unknown,36
Uneducated,Unknown,36
High School,$40K - $60K,36
Graduate,Less than $40K,41
Unknown,Unknown,27
Graduate,Less than $40K,43
Uneducated,$40K - $60K,36
High School,Less than $40K,33
Unknown,Less than $40K,26
Graduate,$40K - $60K,35
Uneducated,Less than $40K,25
Uneducated,$60K - $80K,36
Uneducated,Less than $40K,36
High School,$40K - $60K,25
Unknown,$60K - $80K,32
Graduate,Less than $40K,25
Uneducated,$60K - $80K,30
College,Less than $40K,36
Graduate,$60K - $80K,34
Unknown,$60K - $80K,32
Graduate,Less than $40K,36
Uneducated,Less than $40K,38
Unknown,$80K - $120K,32
College,Less than $40K,27
High School,Less than $40K,32
Unknown,Unknown,36
High School,$60K - $80K,32
Graduate,$120K +,33
Unknown,Less than $40K,36
Doctorate,$60K - $80K,37
Unknown,$40K - $60K,33
Unknown,$40K - $60K,36
Uneducated,$60K - $80K,36
Graduate,Less than $40K,36
High School,$40K - $60K,36
Graduate,$40K - $60K,30
Graduate,$40K - $60K,25
High School,$40K - $60K,40
High School,$40K - $60K,43
Unknown,Less than $40K,37
College,Less than $40K,38
Unknown,Unknown,27
High School,Unknown,30
High School,$80K - $120K,31
Uneducated,$40K - $60K,36
Graduate,Unknown,39
High School,Less than $40K,36
Graduate,Less than $40K,33
Graduate,Less than $40K,31
College,$60K - $80K,23
Uneducated,$40K - $60K,27
Graduate,$40K - $60K,23
Unknown,Less than $40K,36
Post-Graduate,$80K - $120K,37
Unknown,Less than $40K,43
High School,Less than $40K,36
Graduate,Less than $40K,39
College,$40K - $60K,27
Uneducated,Less than $40K,36
Graduate,Less than $40K,38
Graduate,Less than $40K,40
Graduate,Unknown,28
High School,$40K - $60K,36
Graduate,Unknown,41
Graduate,Unknown,41
Graduate,Less than $40K,30
Graduate,Less than $40K,37
Graduate,Less than $40K,24
Uneducated,Unknown,35
Unknown,Less than $40K,21
Graduate,Unknown,36
Uneducated,Unknown,13
College,Unknown,33
College,Less than $40K,40
Graduate,$60K - $80K,28
College,Unknown,35
Graduate,$40K - $60K,36
Unknown,Unknown,37
College,Less than $40K,36
High School,$40K - $60K,30
Graduate,Less than $40K,34
High School,Less than $40K,36
Unknown,Less than $40K,36
College,Less than $40K,28
Uneducated,$40K - $60K,42
Uneducated,Less than $40K,20
Post-Graduate,$60K - $80K,36
Doctorate,Unknown,24
Unknown,Less than $40K,36
Graduate,$120K +,34
Unknown,Less than $40K,36
Graduate,Less than $40K,36
Unknown,Unknown,34
Unknown,Less than $40K,22
Graduate,Less than $40K,36
High School,Unknown,26
Graduate,Less than $40K,33
Unknown,$40K - $60K,24
High School,Less than $40K,35
High School,Less than $40K,36
Unknown,Less than $40K,36
Graduate,Less than $40K,35
Uneducated,Less than $40K,28
Uneducated,Less than $40K,30
Graduate,Less than $40K,31
Uneducated,Unknown,38
Graduate,Less than $40K,28
Graduate,Less than $40K,45
Doctorate,Less than $40K,25
Graduate,Less than $40K,28
Graduate,$80K - $120K,42
Graduate,Less than $40K,35
Unknown,Unknown,36
Uneducated,Less than $40K,25
Unknown,Less than $40K,36
College,$60K - $80K,35
High School,$80K - $120K,25
Doctorate,Unknown,40
Unknown,$80K - $120K,41
Graduate,$60K - $80K,40
Graduate,$40K - $60K,23
College,$40K - $60K,32
College,Unknown,40
Uneducated,Less than $40K,34
Uneducated,Less than $40K,24
Unknown,$40K - $60K,36
Unknown,Less than $40K,36
Graduate,Unknown,26
Uneducated,$60K - $80K,33
Doctorate,$60K - $80K,36
Uneducated,Less than $40K,30
Doctorate,$40K - $60K,35
Graduate,$40K - $60K,32
Uneducated,Unknown,28
Unknown,Less than $40K,37
College,$80K - $120K,34
Unknown,$40K - $60K,29
Uneducated,$40K - $60K,36
Unknown,Less than $40K,20
Graduate,$40K - $60K,20
High School,$80K - $120K,29
Graduate,Unknown,25
College,Less than $40K,41
Graduate,Less than $40K,28
Uneducated,$40K - $60K,38
Uneducated,Less than $40K,32
Post-Graduate,Less than $40K,32
High School,Less than $40K,28
Post-Graduate,Unknown,46
Graduate,Less than $40K,39
College,$40K - $60K,35
Graduate,Less than $40K,42
Graduate,Less than $40K,40
Post-Graduate,Less than $40K,32
Unknown,Less than $40K,43
Graduate,Less than $40K,28
Uneducated,Less than $40K,36
Graduate,Less than $40K,36
Uneducated,Less than $40K,27
Graduate,$40K - $60K,36
Unknown,Unknown,27
Uneducated,Less than $40K,35
Uneducated,Less than $40K,21
High School,Less than $40K,35
High School,$40K - $60K,36
Graduate,Less than $40K,36
Uneducated,Less than $40K,27
Uneducated,$40K - $60K,29
Uneducated,Less than $40K,27
High School,$80K - $120K,36
College,Less than $40K,27
Graduate,Unknown,26
Uneducated,Less than $40K,37
High School,Less than $40K,36
High School,Less than $40K,42
Graduate,Less than $40K,36
Graduate,$60K - $80K,19
High School,$60K - $80K,38
Graduate,$40K - $60K,43
Post-Graduate,$80K - $120K,35
College,$40K - $60K,26
Graduate,$40K - $60K,36
Graduate,Less than $40K,21
High School,Less than $40K,36
College,Less than $40K,19
High School,$40K - $60K,21
Unknown,$40K - $60K,36
High School,$60K - $80K,36
Graduate,Less than $40K,36
Unknown,Less than $40K,36
Graduate,$80K - $120K,33
Post-Graduate,$60K - $80K,45
Uneducated,$60K - $80K,41
Graduate,$80K - $120K,38
High School,$80K - $120K,36
Graduate,Less than $40K,36
Uneducated,Less than $40K,41
Post-Graduate,$80K - $120K,32
High School,$120K +,34
Graduate,$40K - $60K,37
Unknown,$120K +,38
High School,$60K - $80K,36
College,Less than $40K,13
High School,$80K - $120K,39
Graduate,$60K - $80K,36
Uneducated,$80K - $120K,33
High School,$40K - $60K,35
Graduate,$80K - $120K,36
Unknown,Unknown,37
Graduate,Less than $40K,36
High School,Less than $40K,36
Uneducated,Less than $40K,37
Post-Graduate,Less than $40K,36
High School,$40K - $60K,36
Post-Graduate,Less than $40K,28
College,$60K - $80K,36
Uneducated,$80K - $120K,35
Graduate,$80K - $120K,43
Uneducated,$60K - $80K,36
High School,Less than $40K,32
College,$60K - $80K,36
Graduate,$60K - $80K,29
High School,$80K - $120K,23
College,Unknown,36
High School,$60K - $80K,28
College,Unknown,44
Graduate,$40K - $60K,40
Uneducated,$80K - $120K,31
Unknown,$80K - $120K,29
Graduate,Unknown,31
High School,Less than $40K,36
Uneducated,Less than $40K,30
Doctorate,$80K - $120K,36
Unknown,$80K - $120K,28
High School,Unknown,27
High School,Less than $40K,38
Unknown,$120K +,30
High School,$60K - $80K,27
High School,Unknown,30
Graduate,Less than $40K,35
Uneducated,Less than $40K,42
High School,$120K +,40
Graduate,$120K +,36
High School,$60K - $80K,36
College,$40K - $60K,39
College,Less than $40K,37
Post-Graduate,$80K - $120K,30
Doctorate,$40K - $60K,39
High School,$120K +,30
High School,$40K - $60K,42
Uneducated,$40K - $60K,36
Graduate,$80K - $120K,41
Graduate,$80K - $120K,30
Uneducated,$40K - $60K,37
Graduate,$80K - $120K,37
Post-Graduate,Less than $40K,38
Graduate,$60K - $80K,24
Doctorate,Unknown,36
High School,Unknown,36
Uneducated,$80K - $120K,36
Graduate,$40K - $60K,34
College,$40K - $60K,32
Doctorate,Less than $40K,27
Graduate,Less than $40K,30
Graduate,Less than $40K,31
Unknown,$80K - $120K,32
Graduate,Less than $40K,34
High School,Unknown,31
Uneducated,$60K - $80K,33
Graduate,Less than $40K,31
Graduate,Less than $40K,36
Unknown,$120K +,34
College,$60K - $80K,41
Doctorate,$60K - $80K,36
Graduate,$40K - $60K,36
High School,$40K - $60K,39
High School,Less than $40K,36
College,$40K - $60K,34
Graduate,Less than $40K,43
Graduate,$40K - $60K,36
College,$40K - $60K,36
College,$60K - $80K,35
Graduate,Less than $40K,38
Graduate,$80K - $120K,36
Uneducated,$80K - $120K,36
High School,$60K - $80K,33
College,$80K - $120K,38
College,$40K - $60K,28
High School,$40K - $60K,32
High School,$80K - $120K,28
Unknown,Less than $40K,28
High School,$120K +,40
High School,$120K +,36
Uneducated,$60K - $80K,36
Unknown,Less than $40K,29
Doctorate,$40K - $60K,42
Uneducated,$80K - $120K,35
Graduate,$120K +,36
Graduate,$60K - $80K,37
College,$60K - $80K,39
Uneducated,$60K - $80K,31
High School,$80K - $120K,26
Graduate,$80K - $120K,33
High School,Less than $40K,36
High School,Unknown,42
Graduate,$60K - $80K,36
Uneducated,$80K - $120K,31
Unknown,$80K - $120K,36
High School,$40K - $60K,36
Graduate,$40K - $60K,36
Graduate,Less than $40K,40
Unknown,$60K - $80K,38
Doctorate,$80K - $120K,38
Graduate,Less than $40K,36
Uneducated,$120K +,38
Post-Graduate,Unknown,38
Post-Graduate,$80K - $120K,29
Uneducated,Less than $40K,35
College,Less than $40K,34
Graduate,$60K - $80K,32
High School,$40K - $60K,42
Uneducated,$80K - $120K,28
Post-Graduate,Less than $40K,36
Unknown,$40K - $60K,30
Post-Graduate,$80K - $120K,36
Uneducated,$60K - $80K,29
Doctorate,Less than $40K,36
Graduate,$120K +,36
Unknown,Unknown,27
High School,$120K +,41
Uneducated,Less than $40K,36
Unknown,$60K - $80K,28
Graduate,$80K - $120K,39
Graduate,$120K +,40
Graduate,$80K - $120K,37
Uneducated,$40K - $60K,16
Graduate,$60K - $80K,33
College,Less than $40K,38
Graduate,$60K - $80K,36
Unknown,$120K +,45
Uneducated,$80K - $120K,39
Unknown,$80K - $120K,34
Doctorate,$120K +,31
Post-Graduate,$40K - $60K,36
Post-Graduate,Unknown,37
Unknown,Less than $40K,36
High School,$120K +,32
Uneducated,$80K - $120K,45
Uneducated,$40K - $60K,42
Unknown,Less than $40K,36
Graduate,Unknown,24
Graduate,Unknown,36
Graduate,Less than $40K,33
Graduate,Less than $40K,36
Unknown,Unknown,28
College,Less than $40K,31
Uneducated,$80K - $120K,38
Post-Graduate,$40K - $60K,25
Graduate,Less than $40K,40
Unknown,$40K - $60K,31
Graduate,$80K - $120K,29
Unknown,$40K - $60K,26
Uneducated,$80K - $120K,33
Unknown,$120K +,38
High School,$40K - $60K,32
Uneducated,Unknown,34
